Text,CaptionType,DocumentId,PageNumber,Popularity,Score
6.2 End Dimensions,Heading,BGWRBGAAAAAAAAAA,25,116.6666667,4.77631844246482
6.2.5 Intermediate Rated Socket Welding and,Heading,BGWRBGAAAAAAAAAA,25,116.6666667,4.77631844246482
6.3 Auxiliary Connections,Heading,BGWRBGAAAAAAAAAA,25,116.6666667,4.77631844246482
8.3.2.1 Ultrasonic or Radiographic Examination.,Heading,BGWRBGAAAAAAAAAA,30,108.3333333,4.70350608640684
8.4 Defect Removal and Repair,Heading,BGWRBGAAAAAAAAAA,30,108.3333333,4.70350608640684
"8.3.2 Forgings, Bars, Plates, and Tubular Products",Heading,BGWRBGAAAAAAAAAA,30,108.3333333,4.70350608640684
2.4 Guidance for the Use of Flanged Valve Ratings,Heading,BGWRBGAAAAAAAAAA,20,100,4.62497281328427
2.5 Variances,Heading,BGWRBGAAAAAAAAAA,20,100,4.62497281328427
2.1.6 Valves Fabricated by Welding. A valve made,Heading,BGWRBGAAAAAAAAAA,20,100,4.62497281328427
2.3 Temperature Effects,Heading,BGWRBGAAAAAAAAAA,20,100,4.62497281328427
2.2 Rating Temperature,Heading,BGWRBGAAAAAAAAAA,20,100,4.62497281328427
2.3.3 Fluid Thermal Expansion. Under certain condi-,Heading,BGWRBGAAAAAAAAAA,20,100,4.62497281328427
"2.5.1 Safety Valves, Relief Valves, or Rupture Disk",Heading,BGWRBGAAAAAAAAAA,20,100,4.62497281328427
The next edition of this Standard is scheduled for publication in 2020.,Title,BGWRBGAAAAAAAAAA,3,91.66666667,4.53974238070122
4.4 Conformity,Heading,BGWRBGAAAAAAAAAA,22,75,4.34380542185368
4.3 Identification Plate,Heading,BGWRBGAAAAAAAAAA,22,75,4.34380542185368
5 MATERIALS,Heading,BGWRBGAAAAAAAAAA,22,75,4.34380542185368
5.1 General,Heading,BGWRBGAAAAAAAAAA,22,75,4.34380542185368
Table VII-2-1.1 Ratings for Group 1.1 Materials,TableCap,BGWRBGAAAAAAAAAA,149,75,4.34380542185368
ð17Þ,Title,BGWRBGAAAAAAAAAA,149,75,4.34380542185368
Table 2-2.2 Ratings for Group 2.2 Materials,TableCap,BGWRBGAAAAAAAAAA,81,66.66666667,4.22926388017001
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,81,66.66666667,4.22926388017001
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,81,66.66666667,4.22926388017001
V-6.1 Body Dimensions,Heading,BGWRBGAAAAAAAAAA,143,66.66666667,4.22926388017001
V-2.1 General,Heading,BGWRBGAAAAAAAAAA,143,66.66666667,4.22926388017001
V-1.2 Applicability,Heading,BGWRBGAAAAAAAAAA,143,66.66666667,4.22926388017001
MANDATORY APPENDIX V REQUIREMENTS FOR LIMITED CLASS VALVES,Title,BGWRBGAAAAAAAAAA,143,66.66666667,4.22926388017001
ASME B16.34-2017,TableCap,BGWRBGAAAAAAAAAA,40,58.33333333,4.09988474254247
Table 1 Material Specification List: Applicable ASTM Specifications,TableCap,BGWRBGAAAAAAAAAA,40,58.33333333,4.09988474254247
LIST OF CHANGES IN RECORD NUMBER ORDER,Title,BGWRBGAAAAAAAAAA,17,50,3.95124371858143
ASME B16 COMMITTEE,Title,BGWRBGAAAAAAAAAA,10,50,3.95124371858143
MANDATORY APPENDIX VIII,Title,BGWRBGAAAAAAAAAA,227,50,3.95124371858143
2-3.1  Ratings for Group 3.1 Materials . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,TableCap,BGWRBGAAAAAAAAAA,5,50,3.95124371858143
Table VII-2-2.8 Ratings for Group 2.8 Materials,TableCap,BGWRBGAAAAAAAAAA,192,50,3.95124371858143
"R. B. Hai, RBH Associates P. W. Heald, Bonney Forge",Heading,BGWRBGAAAAAAAAAA,10,50,3.95124371858143
STANDARDS COMMITTEE PERSONNEL,Heading,BGWRBGAAAAAAAAAA,10,50,3.95124371858143
MANDATORY APPENDIX I RADIOGRAPHY EXAMINATION: PROCEDURE AND ACCEPTANCE STANDARDS,Title,BGWRBGAAAAAAAAAA,138,41.66666667,3.77658503460938
I-2 ACCEPTANCE STANDARDS,Heading,BGWRBGAAAAAAAAAA,138,41.66666667,3.77658503460938
I-1 RADIOGRAPHY PROCEDURE,Heading,BGWRBGAAAAAAAAAA,138,41.66666667,3.77658503460938
ASME B16.34-2017,TableCap,BGWRBGAAAAAAAAAA,129,41.66666667,3.77658503460938
Table 1 Material Specification List: Applicable ASTM Specifications (Cont'd),TableCap,BGWRBGAAAAAAAAAA,43,41.66666667,3.77658503460938
"Table 3A Valve Body Minimum Wall Thickness, tm, mm",TableCap,BGWRBGAAAAAAAAAA,129,41.66666667,3.77658503460938
Table 1 Material Specification List: Applicable ASTM Specifications (Cont'd),TableCap,BGWRBGAAAAAAAAAA,44,41.66666667,3.77658503460938
ASME B16.34-2017,TableCap,BGWRBGAAAAAAAAAA,43,41.66666667,3.77658503460938
Nominal Designation,TableCap,BGWRBGAAAAAAAAAA,42,41.66666667,3.77658503460938
ASME B16.34-2017,TableCap,BGWRBGAAAAAAAAAA,42,41.66666667,3.77658503460938
Table 1 Material Specification List: Applicable ASTM Specifications (Cont'd),TableCap,BGWRBGAAAAAAAAAA,42,41.66666667,3.77658503460938
Figure 1 Method of Designating Location of Auxiliary Connections When Specified,Title,BGWRBGAAAAAAAAAA,31,41.66666667,3.77658503460938
"Inside Diameter, d, mm [Note (1)] Minimum Wall Thickness, tm, mm",TableCap,BGWRBGAAAAAAAAAA,129,41.66666667,3.77658503460938
6.4 Valve Joints,Heading,BGWRBGAAAAAAAAAA,26,41.66666667,3.77658503460938
6.4.1.1 Bolted Bonnet or Cover Joints. Where,Heading,BGWRBGAAAAAAAAAA,26,41.66666667,3.77658503460938
6.4.1 Bonnet or Cover Joints. Valve bonnet or cover,Heading,BGWRBGAAAAAAAAAA,26,41.66666667,3.77658503460938
B-4.4 Wall Thickness for Intermediate Ratings,Heading,BGWRBGAAAAAAAAAA,236,33.33333333,3.56482680534962
B-5 MAXIMUM RATINGS,Heading,BGWRBGAAAAAAAAAA,236,33.33333333,3.56482680534962
Table B-2 Class-Diameter Matrix,TableCap,BGWRBGAAAAAAAAAA,236,33.33333333,3.56482680534962
VI-1 MINIMUM WALL THICKNESS EQUATIONS,Heading,BGWRBGAAAAAAAAAA,146,33.33333333,3.56482680534962
B-4.3 Interpolation for Intermediate Pressure Ratings,Title,BGWRBGAAAAAAAAAA,236,33.33333333,3.56482680534962
VI-2 DESIGN VALUES,Heading,BGWRBGAAAAAAAAAA,146,33.33333333,3.56482680534962
"Table VI-1 Basis Equations for Minimum Wall Thickness, mm",TableCap,BGWRBGAAAAAAAAAA,146,33.33333333,3.56482680534962
Figure 2 Butterfly Valve Body,Title,BGWRBGAAAAAAAAAA,32,33.33333333,3.56482680534962
MANDATORY APPENDIX VI BASIS EQUATIONS FOR MINIMUM WALL THICKNESS,Title,BGWRBGAAAAAAAAAA,146,33.33333333,3.56482680534962
INTRODUCTION,Title,BGWRBGAAAAAAAAAA,14,33.33333333,3.56482680534962
Table B-1 Pressure–Temperature Matrix,TableCap,BGWRBGAAAAAAAAAA,236,33.33333333,3.56482680534962
"Valves — Flanged, Threaded, and Welding End",Title,BGWRBGAAAAAAAAAA,2,33.33333333,3.56482680534962
B-4.1 Conception,Heading,BGWRBGAAAAAAAAAA,235,25,3.29583686600433
B — Special Class,TableCap,BGWRBGAAAAAAAAAA,61,25,3.29583686600433
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,61,25,3.29583686600433
ASME B16.34-2017,TableCap,BGWRBGAAAAAAAAAA,41,25,3.29583686600433
MANDATORY APPENDIX VII PRESSURE–TEMPERATURE RATINGS: U.S. CUSTOMARY UNITS1,Title,BGWRBGAAAAAAAAAA,148,25,3.29583686600433
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,61,25,3.29583686600433
Table 2-1.10 Ratings for Group 1.10 Materials A182 Gr. F22 Cl. 3 (1),TableCap,BGWRBGAAAAAAAAAA,61,25,3.29583686600433
Table 1 Material Specification List: Applicable ASTM Specifications (Cont'd),TableCap,BGWRBGAAAAAAAAAA,41,25,3.29583686600433
NONMANDATORY APPENDIX B METHOD USED FOR ESTABLISHING PRESSURE–TEMPERATURE RATINGS,Title,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
B-1 GENERAL CONSIDERATIONS,Heading,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
6.7 Wafer or Flangeless Valves,Heading,BGWRBGAAAAAAAAAA,27,25,3.29583686600433
6.6 Installation Limitations,Heading,BGWRBGAAAAAAAAAA,27,25,3.29583686600433
6.5.1 Stem Retention,Heading,BGWRBGAAAAAAAAAA,27,25,3.29583686600433
B-1.1 Introduction,Heading,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
6.5 Stems,Heading,BGWRBGAAAAAAAAAA,27,25,3.29583686600433
B-1.3 Wall Thickness,Heading,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
B-4 INTERMEDIATE RATING CLASS METHOD,Heading,BGWRBGAAAAAAAAAA,235,25,3.29583686600433
B-4.2 Nomenclature,Heading,BGWRBGAAAAAAAAAA,235,25,3.29583686600433
B-3 SPECIAL CLASS RATING METHOD,Title,BGWRBGAAAAAAAAAA,235,25,3.29583686600433
B-1.6 Material Groups,Heading,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
B-1.5 Material Properties,Heading,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
Table 4 Minimum Wall Thickness for Socket Welding and Threaded Ends,TableCap,BGWRBGAAAAAAAAAA,137,25,3.29583686600433
B-1.2 Materials,Heading,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
B-1.4 Additional Considerations,Heading,BGWRBGAAAAAAAAAA,233,25,3.29583686600433
Figure 17 Flat Cover,FigureCap,BGWRBGAAAAAAAAAA,39,25,3.29583686600433
Figure 15 Conduit Gate Body (Pressure Seal Bonnet),Title,BGWRBGAAAAAAAAAA,39,25,3.29583686600433
"strength property tables should be avoided and that, as a general guide, such changes should not be considered unless resulting ratings would be changed by an amount in excess of 10%.",Title,BGWRBGAAAAAAAAAA,9,25,3.29583686600433
Table 2-1.8 Ratings for Group 1.8 Materials (Cont'd),Title,BGWRBGAAAAAAAAAA,58,16.66666667,2.92673940224561
VII-2-1.18 Ratings for Group 1.18 Materials . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,TableCap,BGWRBGAAAAAAAAAA,6,16.66666667,2.92673940224561
VII-2-1.17 Ratings for Group 1.17 Materials . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,TableCap,BGWRBGAAAAAAAAAA,6,16.66666667,2.92673940224561
"Table B-3 Ceiling Pressure, psi",Title,BGWRBGAAAAAAAAAA,239,16.66666667,2.92673940224561
Table 2-1.2 Ratings for Group 1.2 Materials,TableCap,BGWRBGAAAAAAAAAA,47,16.66666667,2.92673940224561
A — Standard Class,TableCap,BGWRBGAAAAAAAAAA,239,16.66666667,2.92673940224561
"ASTM A320/A320M-2007, Alloy/Steel Bolting Materials for Low-Temperature Service",Title,BGWRBGAAAAAAAAAA,228,16.66666667,2.92673940224561
Table VII-2-1.10 Ratings for Group 1.10 Materials,TableCap,BGWRBGAAAAAAAAAA,161,16.66666667,2.92673940224561
VII-2-1.16 Ratings for Group 1.16 Materials . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,TableCap,BGWRBGAAAAAAAAAA,6,16.66666667,2.92673940224561
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,73,16.66666667,2.92673940224561
Class,Heading,BGWRBGAAAAAAAAAA,147,16.66666667,2.92673940224561
Pc,Heading,BGWRBGAAAAAAAAAA,147,16.66666667,2.92673940224561
"Table VI-2 Basis Equations for Minimum Wall Thickness, in.",TableCap,BGWRBGAAAAAAAAAA,147,16.66666667,2.92673940224561
Table VII-2-1.2 Ratings for Group 1.2 Materials,TableCap,BGWRBGAAAAAAAAAA,150,16.66666667,2.92673940224561
III-2.1 Castings,Heading,BGWRBGAAAAAAAAAA,141,16.66666667,2.92673940224561
Figure V-1 Limited Class Stress Area Limits,FigureCap,BGWRBGAAAAAAAAAA,144,16.66666667,2.92673940224561
III-2 ACCEPTANCE STANDARDS1,Heading,BGWRBGAAAAAAAAAA,141,16.66666667,2.92673940224561
MANDATORY APPENDIX III LIQUID PENETRANT EXAMINATION: PROCEDURE AND ACCEPTANCE STANDARDS,Title,BGWRBGAAAAAAAAAA,141,16.66666667,2.92673940224561
"Table V-1 Material Coefficient, y",TableCap,BGWRBGAAAAAAAAAA,144,16.66666667,2.92673940224561
"ASME procedures provide for reconsideration of any interpretation when or if additional information that might affect an interpretation is available. Further, persons aggrieved by an interpretation may appeal to the cognizant ASME Committee or Subcommittee. ASME does not “approve,” “certify,” “rate,” or “endorse” any item, construction, proprietary device, or activity.",Title,BGWRBGAAAAAAAAAA,12,16.66666667,2.92673940224561
"Table 3B Valve Body Minimum Wall Thickness, tm, in.",TableCap,BGWRBGAAAAAAAAAA,133,16.66666667,2.92673940224561
Inside,Heading,BGWRBGAAAAAAAAAA,133,16.66666667,2.92673940224561
Table 2-3.19 Ratings for Group 3.19 Materials (Cont'd),Title,BGWRBGAAAAAAAAAA,128,16.66666667,2.92673940224561
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,73,16.66666667,2.92673940224561
Table 2-1.16 Ratings for Group 1.16 Materials,TableCap,BGWRBGAAAAAAAAAA,73,16.66666667,2.92673940224561
"Table 3B Valve Body Minimum Wall Thickness, tm, in. (Cont'd)",TableCap,BGWRBGAAAAAAAAAA,134,16.66666667,2.92673940224561
Inside,Heading,BGWRBGAAAAAAAAAA,134,16.66666667,2.92673940224561
"Table 3B Valve Body Minimum Wall Thickness, tm, in. (Cont'd)",TableCap,BGWRBGAAAAAAAAAA,135,16.66666667,2.92673940224561
Inside,Heading,BGWRBGAAAAAAAAAA,135,16.66666667,2.92673940224561
III-2.2 Forgings and Rolled or Wrought Material,Heading,BGWRBGAAAAAAAAAA,141,16.66666667,2.92673940224561
B — Special Class,TableCap,BGWRBGAAAAAAAAAA,128,16.66666667,2.92673940224561
FOREWORD,Title,BGWRBGAAAAAAAAAA,8,16.66666667,2.92673940224561
Table VII-2-3.15 Ratings for Group 3.15 Materials,TableCap,BGWRBGAAAAAAAAAA,219,8.333333333,2.33537491578478
Table VII-2-3.10 Ratings for Group 3.10 Materials,TableCap,BGWRBGAAAAAAAAAA,214,8.333333333,2.33537491578478
B — Special Class,TableCap,BGWRBGAAAAAAAAAA,214,8.333333333,2.33537491578478
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,49,8.333333333,2.33537491578478
Table 2-1.3 Ratings for Group 1.3 Materials,TableCap,BGWRBGAAAAAAAAAA,49,8.333333333,2.33537491578478
Table VII-2-1.4 Ratings for Group 1.4 Materials,TableCap,BGWRBGAAAAAAAAAA,153,8.333333333,2.33537491578478
"Table 3A Valve Body Minimum Wall Thickness, tm, mm (Cont'd)",TableCap,BGWRBGAAAAAAAAAA,131,8.333333333,2.33537491578478
[Note (1)],TableCap,BGWRBGAAAAAAAAAA,131,8.333333333,2.33537491578478
"Minimum Wall Thickness, tm, mm",TableCap,BGWRBGAAAAAAAAAA,131,8.333333333,2.33537491578478
NOTES:,Heading,BGWRBGAAAAAAAAAA,49,8.333333333,2.33537491578478
"(1) Upon prolonged exposure to temperatures above 425°C, the carbide phase of steel may be converted to graphite. Permissible, but not recommended for prolonged usage above 425°C. (2) Not to be used over 345°C. ASME B16.34-2017",TableCap,BGWRBGAAAAAAAAAA,49,8.333333333,2.33537491578478
Table 2-1.3 Ratings for Group 1.3 Materials (Cont'd),TableCap,BGWRBGAAAAAAAAAA,50,8.333333333,2.33537491578478
Table VII-2-3.5 Ratings for Group 3.5 Materials,TableCap,BGWRBGAAAAAAAAAA,206,8.333333333,2.33537491578478
Table VII-2-3.3 Ratings for Group 3.3 Materials,TableCap,BGWRBGAAAAAAAAAA,203,8.333333333,2.33537491578478
"Table 3B Valve Body Minimum Wall Thickness, tm, in. (Cont'd)",TableCap,BGWRBGAAAAAAAAAA,136,8.333333333,2.33537491578478
Table VII-2-3.9 Ratings for Group 3.9 Materials (Cont'd),Title,BGWRBGAAAAAAAAAA,214,8.333333333,2.33537491578478
Table 2-1.15 Ratings for Group 1.15 Materials (Cont'd),Title,BGWRBGAAAAAAAAAA,72,8.333333333,2.33537491578478
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,49,8.333333333,2.33537491578478
ASME B16.34-2017,TableCap,BGWRBGAAAAAAAAAA,136,8.333333333,2.33537491578478
Figure 9 Angle Body (Pressure Seal Bonnet): Bonnet Same As Y Pattern Globe,Title,BGWRBGAAAAAAAAAA,36,8.333333333,2.33537491578478
Figure 8 Y Pattern Globe Body (Pressure Seal Bonnet),Title,BGWRBGAAAAAAAAAA,35,8.333333333,2.33537491578478
Figure 7 Gate Body (Pressure Seal Bonnet),Title,BGWRBGAAAAAAAAAA,35,8.333333333,2.33537491578478
Figure 13 Butterfly Body,Title,BGWRBGAAAAAAAAAA,38,8.333333333,2.33537491578478
Figure 4 Bosses for Auxiliary Connections,FigureCap,BGWRBGAAAAAAAAAA,33,8.333333333,2.33537491578478
Figure 3 Thread Length for Auxiliary Connections,Title,BGWRBGAAAAAAAAAA,33,8.333333333,2.33537491578478
Table 2-2.9 Ratings for Group 2.9 Materials (Cont'd),Title,BGWRBGAAAAAAAAAA,94,8.333333333,2.33537491578478
NONMANDATORY APPENDIX C QUALITY SYSTEM PROGRAM,Title,BGWRBGAAAAAAAAAA,241,8.333333333,2.33537491578478
B — Special Class,TableCap,BGWRBGAAAAAAAAAA,240,8.333333333,2.33537491578478
"Table B-3 Ceiling Pressure, psi (Cont'd)",Title,BGWRBGAAAAAAAAAA,240,8.333333333,2.33537491578478
"GENERAL NOTE: For definition of A, see para. 8.3.1.1.",FigureCap,BGWRBGAAAAAAAAAA,38,8.333333333,2.33537491578478
"Figure 14 Plug Body GENERAL NOTE: For definition of A, see para. 8.3.1.1.",FigureCap,BGWRBGAAAAAAAAAA,38,8.333333333,2.33537491578478
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,86,8.333333333,2.33537491578478
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,86,8.333333333,2.33537491578478
Table 2-2.5 Ratings for Group 2.5 Materials,TableCap,BGWRBGAAAAAAAAAA,86,8.333333333,2.33537491578478
B-2.3 Method for Class 150 — All Materials,Heading,BGWRBGAAAAAAAAAA,234,8.333333333,2.33537491578478
B-2.2 Method for Groups 2 and 3 Materials,Heading,BGWRBGAAAAAAAAAA,234,8.333333333,2.33537491578478
B-2 STANDARD CLASS RATING METHOD B-2.1 Method for Group 1 Materials,Title,BGWRBGAAAAAAAAAA,234,8.333333333,2.33537491578478
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,83,8.333333333,2.33537491578478
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,83,8.333333333,2.33537491578478
Table 2-2.3 Ratings for Group 2.3 Materials,TableCap,BGWRBGAAAAAAAAAA,83,8.333333333,2.33537491578478
Table 2-3.15 Ratings for Group 3.15 Materials,TableCap,BGWRBGAAAAAAAAAA,120,8.333333333,2.33537491578478
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,120,8.333333333,2.33537491578478
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,120,8.333333333,2.33537491578478
Table VII-2-3.19 Ratings for Group 3.19 Materials (Cont'd),Title,BGWRBGAAAAAAAAAA,226,8.333333333,2.33537491578478
NOTES:,Heading,BGWRBGAAAAAAAAAA,72,8.333333333,2.33537491578478
Table 2-1.6 Ratings for Group 1.6 Materials A387 Gr. 2 Cl. 1  A387 Gr. 2 Cl. 2  A691 Gr. 1∕2CR A — Standard Class,TableCap,BGWRBGAAAAAAAAAA,54,8.333333333,2.33537491578478
ASME B16.34-2017,FigureCap,BGWRBGAAAAAAAAAA,36,8.333333333,2.33537491578478
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,54,8.333333333,2.33537491578478
Table VII-2-2.4 Ratings for Group 2.4 Materials,TableCap,BGWRBGAAAAAAAAAA,184,8.333333333,2.33537491578478
Table VII-2-2.3 Ratings for Group 2.3 Materials,TableCap,BGWRBGAAAAAAAAAA,183,8.333333333,2.33537491578478
B — Special Class,TableCap,BGWRBGAAAAAAAAAA,182,8.333333333,2.33537491578478
Table VII-2-2.2 Ratings for Group 2.2 Materials (Cont'd),TableCap,BGWRBGAAAAAAAAAA,182,8.333333333,2.33537491578478
Table VII-2-2.2 Ratings for Group 2.2 Materials,TableCap,BGWRBGAAAAAAAAAA,181,8.333333333,2.33537491578478
MANDATORY APPENDIX IV ULTRASONIC EXAMINATION: PROCEDURE AND ACCEPTANCE STANDARDS,Title,BGWRBGAAAAAAAAAA,142,8.333333333,2.33537491578478
IV-1 PROCEDURE,Heading,BGWRBGAAAAAAAAAA,142,8.333333333,2.33537491578478
IV-2 ACCEPTANCE STANDARDS,Heading,BGWRBGAAAAAAAAAA,142,8.333333333,2.33537491578478
IV-2.1 Straight Beam Examination,Heading,BGWRBGAAAAAAAAAA,142,8.333333333,2.33537491578478
IV-2.2 Angle Beam Examination,Heading,BGWRBGAAAAAAAAAA,142,8.333333333,2.33537491578478
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,54,8.333333333,2.33537491578478
Figure 10 Elbow Down (Pressure Seal Bonnet),FigureCap,BGWRBGAAAAAAAAAA,36,8.333333333,2.33537491578478
Table VII-2-1.17 Ratings for Group 1.17 Materials,TableCap,BGWRBGAAAAAAAAAA,175,8.333333333,2.33537491578478
Table VII-2-1.16 Ratings for Group 1.16 Materials (Cont'd),TableCap,BGWRBGAAAAAAAAAA,174,8.333333333,2.33537491578478
SUMMARY OF CHANGES,Title,BGWRBGAAAAAAAAAA,15,8.333333333,2.33537491578478
Table VII-2-1.3 Ratings for Group 1.3 Materials,TableCap,BGWRBGAAAAAAAAAA,151,8.333333333,2.33537491578478
Table VII-2-1.14 Ratings for Group 1.14 Materials,TableCap,BGWRBGAAAAAAAAAA,169,8.333333333,2.33537491578478
Table 2-1.11 Ratings for Group 1.11 Materials,TableCap,BGWRBGAAAAAAAAAA,63,8.333333333,2.33537491578478
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,63,8.333333333,2.33537491578478
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,63,8.333333333,2.33537491578478
Table 2-1.12 Ratings for Group 1.12 Materials,TableCap,BGWRBGAAAAAAAAAA,65,8.333333333,2.33537491578478
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,65,8.333333333,2.33537491578478
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,65,8.333333333,2.33537491578478
Table 2-1.12 Ratings for Group 1.12 Materials (Cont'd),Title,BGWRBGAAAAAAAAAA,66,8.333333333,2.33537491578478
B — Special Class,TableCap,BGWRBGAAAAAAAAAA,66,8.333333333,2.33537491578478
ASME B16.34-2017,TableCap,BGWRBGAAAAAAAAAA,156,8.333333333,2.33537491578478
Table VII-2-1.7 Ratings for Group 1.7 Materials,TableCap,BGWRBGAAAAAAAAAA,156,8.333333333,2.33537491578478
